,overall_sentiment_score,BTC_sentiment,ETH_sentiment,BTC_relevance,ETH_relevance,timestamp
165,0.090366,0.093145,,0.188321,,2022-03-08 12:59:00
166,0.003637,,0.005817,,0.909909,2022-03-08 13:08:00
167,0.068579,,0.009964,,0.037109,2022-03-08 13:10:00
168,0.156196,,-0.020803,,0.052466,2022-03-08 13:19:00
169,0.07057,,0.009964,,0.037236,2022-03-08 13:21:00
170,-0.151069,-0.151069,,0.909302,,2022-03-08 13:22:00
171,-0.097311,0.014362,,0.130748,,2022-03-08 13:26:00
172,-0.018588,,0.03767,,0.292747,2022-03-08 13:30:00
173,0.165642,,0.003278,,0.104546,2022-03-08 13:35:00
174,-0.020702,0.020705,0.026897,0.237435,0.096187,2022-03-08 13:49:00
175,-0.0438385,0.002998,0.001233,0.082292,0.017712,2022-03-08 13:52:00
176,0.055512,,0.083004,,0.138344,2022-03-08 14:00:00
177,0.010726,,0.008266,,0.150169,2022-03-08 14:02:00
178,0.148436,,0.240168,,0.026621,2022-03-08 14:03:00
179,0.005473,-0.001731,,0.060373,,2022-03-08 14:10:00
180,-0.054152,-0.068974,,0.089629,,2022-03-08 14:24:00
181,-0.040988,0.005376,,0.078073,,2022-03-08 14:34:00
182,0.029799,,0.037005500000000004,,0.06597449999999999,2022-03-08 15:00:00
183,-0.048799,-0.073184,0.014134,0.673635,0.086838,2022-03-08 15:14:00
184,-0.02723,-0.020782,,0.09949,,2022-03-08 15:27:00
185,0.022855,,0.022855,,0.313884,2022-03-08 15:45:00
186,-0.11689,0.00655,,0.069636,,2022-03-08 15:50:00
187,-0.026038,-0.004114,,0.377427,,2022-03-08 16:00:00
188,-0.145506,0.117333,,0.156613,,2022-03-08 16:05:00
189,-0.165635,-0.153661,0.015446,0.195222,0.098355,2022-03-08 16:07:00
190,-0.072118,0.6416,,0.035523,,2022-03-08 16:40:00
191,-0.06098,-0.06098,,0.73979,,2022-03-08 16:45:00
192,-0.021605,-0.028614,,0.349773,,2022-03-08 16:59:00
193,0.0629035,-0.03519,-0.0022129999999999997,0.191321,0.156027,2022-03-08 17:00:00
194,-0.05180033333333334,-0.058341,-0.058564500000000005,0.906257,0.999415,2022-03-08 17:01:00
195,-0.197701,-0.798467,,0.059459,,2022-03-08 17:14:00
196,-0.118452,-0.118452,,0.718177,,2022-03-08 17:26:00
197,-0.087441,,-0.087441,,0.999729,2022-03-08 18:14:00
198,-0.056009,,-0.008082,,0.452295,2022-03-08 18:15:00
199,-0.1761205,-0.009899,-0.237881,0.052743,0.146976,2022-03-08 18:19:00
200,-0.366795,-0.139215,,0.134214,,2022-03-08 18:47:00
201,0.0514462,,0.0008025999999999999,,0.3667806,2022-03-08 19:03:00
202,0.073379,,0.018447,,0.517338,2022-03-08 19:04:00
203,-0.059712,0.004856,0.004856,0.156562,0.156562,2022-03-08 19:14:00
204,-0.046706,-0.053378,,0.074973,,2022-03-08 19:18:00
205,-0.073663,,0.002422,,0.111747,2022-03-08 19:31:00
206,-0.059712,0.004856,0.004856,0.156562,0.156562,2022-03-08 19:36:00
207,0.06432,,0.008033,,0.052813,2022-03-08 19:41:00
208,-0.066104,0.1074,,0.108663,,2022-03-08 19:59:00
209,0.139989,,0.235648,,0.234798,2022-03-08 20:10:00
210,0.13889,,0.025722,,0.146291,2022-03-08 20:15:00
211,-0.435462,,-0.466315,,0.513831,2022-03-08 20:16:00
212,0.030617,0.022084,0.034503,0.745574,0.312489,2022-03-08 20:20:00
213,-0.242202,-0.387692,,0.11818,,2022-03-08 20:45:00
214,-0.007608,-0.145953,-0.145953,0.405215,0.405215,2022-03-08 20:52:00
215,0.050262,2.4e-05,,0.082054,,2022-03-08 20:54:00
216,-0.094086,0.041574,0.134489,0.127727,0.085355,2022-03-08 21:00:00
217,0.0116,-0.108591,-0.108591,0.095517,0.095517,2022-03-08 21:30:00
218,-0.076034,0.024425,,0.074809,,2022-03-08 21:50:00
219,-0.06339,-0.069622,,0.776035,,2022-03-08 21:58:00
220,-0.082071,-0.245146,0.093568,0.334083,0.170918,2022-03-08 22:05:00
221,-0.135813,,0.008103,,0.106423,2022-03-08 22:09:00
222,-0.028301,-0.0257,-0.010061,0.698812,0.13681,2022-03-08 22:11:00
223,-0.18152,-0.242602,,0.244477,,2022-03-08 22:16:00
224,-0.166857,-0.003598,,0.565345,,2022-03-08 22:29:00
225,-0.216233,,-0.255876,,0.752217,2022-03-08 22:35:00
226,-0.056946,0.010305,0.000852,0.041117,0.041117,2022-03-08 22:36:00
227,-0.371273,-0.365115,,0.495421,,2022-03-08 22:40:00
228,0.074756,,0.002034,,0.204647,2022-03-08 22:57:00
229,-0.234463,-0.108354,,0.058316,,2022-03-08 23:21:00
230,0.146347,0.216957,,0.139131,,2022-03-09 00:02:00
231,-0.2052,,-0.195299,,0.591126,2022-03-09 00:06:00
232,-0.123856,-0.144334,,0.83667,,2022-03-09 00:45:00
233,0.060098,,0.009575,,0.073818,2022-03-09 01:10:00
234,0.025646,,0.025646,,0.811432,2022-03-09 01:37:00
235,-0.095403,-0.105389,,0.144016,,2022-03-09 01:45:00
236,0.049072,0.06759,0.046843,0.183476,0.646631,2022-03-09 02:09:00
237,-0.049219,-0.34692,0.00081,0.064018,0.064018,2022-03-09 03:02:00
238,-0.070544,-0.144418,0.003507,0.140117,0.140117,2022-03-09 03:05:00
239,-0.202572,-0.122796,0.155525,0.648247,0.243742,2022-03-09 03:12:00
240,-0.128424,-0.167968,,0.21481,,2022-03-09 03:54:00
241,-0.091389,,-0.275975,,0.094464,2022-03-09 04:28:00
242,0.019859,0.00452,,0.080783,,2022-03-09 04:48:00
243,0.019284,0.002448,0.002448,0.288893,0.288893,2022-03-09 04:52:00
244,-0.036274,-0.138037,0.001667,0.62382,0.44479,2022-03-09 05:02:00
245,-0.068182,-0.000371,-0.041664,0.093616,0.093616,2022-03-09 05:42:00
246,-0.153862,-0.330805,,0.371338,,2022-03-09 05:45:00
247,0.019509,0.020743,0.004096,0.358152,0.722198,2022-03-09 06:01:00
248,-0.071143,0.001837,0.001837,0.241804,0.241804,2022-03-09 06:08:00
249,-0.384432,-0.013484,,0.321184,,2022-03-09 06:51:00
250,-0.020944666666666667,0.015114,0.039975500000000004,0.063797,0.0700275,2022-03-09 08:00:00
251,-0.053719,-0.123365,0.003769,0.244969,0.123972,2022-03-09 08:08:00
252,-0.192117,-0.454083,,0.466325,,2022-03-09 08:16:00
253,-0.051197,-0.38046,,0.061647,,2022-03-09 08:25:00
254,0.017836,0.00683,-3.7e-05,0.734543,0.176244,2022-03-09 08:41:00
255,0.036025,,0.038246,,0.056998,2022-03-09 09:01:00
256,0.043959,-0.01784,-0.01784,0.473645,0.473645,2022-03-09 09:16:00
257,0.011434,0.018984,0.009856,0.248343,0.794423,2022-03-09 09:33:00
258,-0.081789,-0.218489,0.17763,0.276648,0.140485,2022-03-09 09:36:00
259,-0.044114,-0.0809,-0.004922,0.265089,0.089864,2022-03-09 09:41:00
260,-0.048732,-0.005972,0.015052,0.788066,0.218521,2022-03-09 09:44:00
261,-0.038356,-0.065457,,0.049009,,2022-03-09 09:49:00
